Company_ID,Legal_Entity_Name,PAN_Number,Financial_Year,Quarter,Customer_ID,Customer_Name,TAN_Number,Invoice_Number,Invoice_Date,Invoice_Amount,GST_Amount,Payment_Date,Gross_Payment,Payment_Method,Bank_Name,Bank_Account_Number,Receipt_Reference,TDS_Applicable,TDS_Section,TDS_Rate,TDS_Deducted,Form26AS_Credit,AIS_Credit,Difference_Amount,Credit_Status,Compliance_Status,Evidence_Status,Risk_Score,Narration
11,Miboo,LMNO9012Q,2021,Q3,11,Marys McGaugan,LMNO90123Q,INV-2020-000456,3/19/2021,5615.9,722.81,12/8/2020,6985.81,Bank Transfer,Ozu,2234993090,UTR250402000456,false,194C,8.71,686.72,482.29,147.08,444.02,Section Mismatch,Compliant,Ready,10,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi."
12,Brightbean,ABCDE1234F,2021,Q2,12,Mattias McCloughen,WXYZ67890P,INV-2020-000456,12/1/2020,5107.5,570.25,6/8/2020,7813.49,Bank Transfer,Voonte,5159721739,UTR250402000456,true,194IA,9.03,187.51,207.27,364.47,429.92,Section Mismatch,Escalated,Ready,3,Nulla mollis molestie lorem. Quisque ut erat.
13,Oba,XYZW5678P,2020,Q2,13,Garry Garwood,LMNO90123Q,INV-2020-000456,10/27/2020,1693.56,902.41,11/19/2021,1574.98,Bank Transfer,Browsetype,9148546841,TXN250401000123,false,194IA,8.66,803.03,168.8,429.54,488.6,Section Mismatch,Compliant,Ready,2,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
14,Jabberbean,ABCDE1234F,2020,Q4,14,Ambrosi Ivanovic,ABCD12345E,INV-2021-000789,3/23/2021,4224.71,929.72,8/21/2021,4485.44,Cheque,Voonte,2672796341,UTR250402000456,true,194C,6.51,191.41,108.06,231.44,-203.98,Matched,Compliant,Ready,10,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
15,Skyba,LMNO9012Q,2021,Q2,15,Issy Neville,WXYZ67890P,INV-2020-000123,5/31/2020,1074.43,244.89,10/31/2020,5152.52,Bank Transfer,Quire,3613546578,UTR250401000123,false,194IA,5.29,167.07,48.02,150.65,54.81,Missing Credit,Escalated,Ready,10,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
16,Trilith,ABCDE1234F,2021,Q4,16,Mortie Burges,LMNO90123Q,INV-2021-000789,4/20/2021,4776.26,832.65,1/25/2021,9937.26,Cheque,Digitube,2542441564,TXN250401000123,true,194C,9.02,104.64,405.09,394.7,216.3,Missing Credit,Compliant,Missing,8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
17,Twitterlist,ABCDE1234F,2021,Q1,17,Shandy Downing,WXYZ67890P,INV-2020-000456,3/20/2021,4907.78,420.9,2/20/2020,8275.38,Bank Transfer,Eamia,7137151106,UTR250401000123,false,194J,5.02,851.37,402.94,281.34,-394.19,Section Mismatch,Escalated,Partial,3,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
18,Kamba,ABCDE1234F,2020,Q1,18,Clo Estcot,ABCD12345E,INV-2020-000456,9/27/2020,1066.29,692.11,10/30/2020,2171.56,Credit Card,Vipe,7756109430,TXN250401000123,true,194C,3.61,321.19,48.29,180.93,469.62,Matched,Needs Review,Partial,9,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
19,Photobug,ABCDE1234F,2021,Q2,19,Teodor Daoust,WXYZ67890P,INV-2020-000123,5/21/2020,9995.6,563.65,4/7/2020,3098.78,Cheque,Browsecat,4841661514,TXN250401000123,false,194IA,3.02,448.98,92.67,311.72,25.77,Matched,Needs Review,Ready,6,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
20,Twitterbridge,XYZW5678P,2021,Q1,20,Maurise Cubbino,LMNO90123Q,INV-2020-000456,11/21/2020,1673.33,490.56,6/28/2021,6839.45,Cheque,Divape,1876182034,UTR250402000456,true,194J,8.61,564.92,311.6,83.28,-493.05,Matched,Needs Review,Ready,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
21,Shuffledrive,ABCDE1234F,2020,Q4,21,Jami Moncreiffe,ABCD12345E,INV-2020-000123,6/27/2021,6071.26,406.67,7/7/2020,1052.17,Bank Transfer,Flipstorm,9292869537,UTR250402000456,true,194J,7.78,747.04,331.77,322.59,37.63,Section Mismatch,Compliant,Missing,7,Nullam varius. Nulla facilisi.
22,Talane,XYZW5678P,2020,Q1,22,Yasmeen Spellworth,LMNO90123Q,INV-2020-000456,8/21/2021,8239.7,863.68,2/4/2020,4569.96,Credit Card,Dynazzy,4535323935,UTR250401000123,false,194J,7.68,598.85,0.54,291.89,-44.27,Missing Credit,Compliant,Missing,7,Sed sagittis.
23,Yakidoo,ABCDE1234F,2020,Q4,23,Herc Crosskell,ABCD12345E,INV-2021-000789,2/22/2020,7560.59,502.56,9/5/2021,4955.23,Credit Card,Jaxbean,5766146228,UTR250402000456,false,194IA,7.62,559.14,252.78,288.37,-362.44,Missing Credit,Needs Review,Missing,2,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
24,Zoomcast,ABCDE1234F,2020,Q3,24,Paloma Jermey,ABCD12345E,INV-2020-000456,9/25/2021,3340.33,906.03,11/25/2020,1090.64,Cheque,Skyvu,8158021585,UTR250401000123,false,194J,4.72,567.94,252.85,304.82,-196.55,Matched,Compliant,Partial,8,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum."
25,Leexo,XYZW5678P,2021,Q4,25,Hieronymus Hafford,ABCD12345E,INV-2020-000456,4/28/2021,7389.74,955.29,7/26/2020,5764.4,Credit Card,Devshare,3503604978,UTR250402000456,true,194J,3.3,904.58,274.97,131.15,-211.25,Missing Credit,Escalated,Partial,2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
26,Aibox,XYZW5678P,2020,Q2,26,Dimitry Barbisch,WXYZ67890P,INV-2020-000456,5/24/2020,1739.61,237.53,4/22/2021,9020.46,Cheque,Gevee,9270613940,UTR250401000123,true,194IA,3.53,635.61,252.23,251.76,362.59,Missing Credit,Escalated,Partial,2,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
27,Ooba,LMNO9012Q,2021,Q1,27,Bertrando Monteith,LMNO90123Q,INV-2020-000456,12/23/2021,6037.55,493.81,9/15/2020,5544.17,Bank Transfer,Topicware,8374320543,TXN250401000123,false,194J,9.09,753.42,80.25,221.07,200.3,Missing Credit,Needs Review,Ready,1,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
28,Layo,ABCDE1234F,2021,Q1,28,Lyda Hooke,WXYZ67890P,INV-2020-000123,11/7/2020,9554.64,851.22,10/13/2020,4767.05,Bank Transfer,Eazzy,9352663952,UTR250402000456,false,194J,9.38,105.02,256.73,240.85,402.0,Missing Credit,Escalated,Missing,5,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
29,Oodoo,ABCDE1234F,2021,Q2,29,Merle McClenaghan,ABCD12345E,INV-2020-000123,12/19/2021,1147.22,896.28,10/18/2020,3523.66,Credit Card,Kaymbo,1058006389,UTR250402000456,false,194C,6.56,379.28,487.22,234.72,344.49,Missing Credit,Compliant,Ready,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante."
30,Flashpoint,LMNO9012Q,2020,Q2,30,Eyde Slarke,LMNO90123Q,INV-2021-000789,2/4/2021,8039.75,569.51,1/29/2021,1488.57,Bank Transfer,Voonte,7277644528,TXN250401000123,false,194C,2.84,391.9,288.2,29.49,-25.47,Section Mismatch,Needs Review,Ready,1,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla."
31,Edgetag,LMNO9012Q,2020,Q3,31,Henry Dewar,WXYZ67890P,INV-2020-000456,7/26/2020,3129.89,526.83,8/19/2020,5072.2,Credit Card,Quire,1391671354,TXN250401000123,false,194IA,3.49,122.11,402.66,14.96,168.68,Missing Credit,Escalated,Ready,10,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
32,Bubblebox,LMNO9012Q,2021,Q4,32,Rhianon Bewshaw,LMNO90123Q,INV-2020-000456,4/9/2021,8492.07,148.25,8/4/2021,2367.39,Bank Transfer,Kwinu,5941779536,UTR250401000123,false,194J,2.35,370.82,379.28,382.48,422.35,Section Mismatch,Compliant,Missing,10,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
33,Devcast,XYZW5678P,2020,Q3,33,Gilli Dignum,WXYZ67890P,INV-2021-000789,3/4/2020,5428.9,618.03,7/4/2020,1705.01,Cheque,Chatterbridge,8558854922,UTR250402000456,true,194IA,7.73,799.68,302.85,33.79,248.52,Missing Credit,Needs Review,Partial,1,Suspendisse potenti. Cras in purus eu magna vulputate luctus.
34,Flashset,XYZW5678P,2020,Q1,34,Wilmer Gleder,ABCD12345E,INV-2020-000123,4/24/2020,9907.85,563.45,6/17/2020,7237.18,Bank Transfer,Latz,2246671679,UTR250401000123,true,194J,7.06,210.68,72.65,254.62,118.7,Section Mismatch,Escalated,Ready,6,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
35,Twitterbridge,XYZW5678P,2020,Q4,35,Malissia Hue,WXYZ67890P,INV-2020-000123,7/11/2020,1084.84,372.33,10/1/2021,1108.9,Bank Transfer,Trudoo,1145876155,TXN250401000123,true,194C,3.74,288.93,320.39,251.54,252.95,Matched,Escalated,Ready,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
36,Kwilith,XYZW5678P,2020,Q2,36,Bert Southern,LMNO90123Q,INV-2020-000456,1/10/2021,2338.07,923.63,5/1/2021,1169.3,Bank Transfer,Wordpedia,6984768094,UTR250402000456,false,194IA,5.77,148.47,367.54,454.51,204.88,Matched,Escalated,Ready,9,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
37,Brainsphere,XYZW5678P,2020,Q4,37,Marguerite Kingh,ABCD12345E,INV-2020-000456,2/2/2021,3113.72,388.46,8/6/2020,7276.25,Cheque,Blogtag,1116554214,UTR250401000123,true,194C,3.34,229.05,330.13,20.04,8.31,Matched,Compliant,Ready,5,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
38,Babbleblab,ABCDE1234F,2021,Q4,38,Janith Kennefick,ABCD12345E,INV-2021-000789,10/3/2020,9751.82,536.47,3/9/2020,1295.79,Credit Card,Wikizz,4322355052,TXN250401000123,false,194C,8.26,760.9,300.35,292.56,35.76,Section Mismatch,Escalated,Missing,5,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem."
39,Vimbo,XYZW5678P,2020,Q1,39,Tommie Sandyfirth,ABCD12345E,INV-2020-000456,4/26/2020,6817.94,799.58,1/8/2021,1592.22,Credit Card,Omba,5241398188,TXN250401000123,false,194J,2.74,609.6,84.71,134.53,-395.73,Matched,Compliant,Partial,10,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus."
40,Agivu,LMNO9012Q,2020,Q2,40,Letta Alcoran,LMNO90123Q,INV-2021-000789,3/20/2021,2450.95,214.66,4/8/2020,4822.85,Credit Card,Ntag,4967815818,UTR250401000123,false,194IA,8.01,961.63,427.73,239.44,16.25,Section Mismatch,Escalated,Ready,10,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
41,Jaxworks,LMNO9012Q,2021,Q2,41,Brent Hedling,LMNO90123Q,INV-2020-000456,3/20/2021,3254.4,434.04,3/11/2020,1407.58,Credit Card,Lazzy,6504167133,TXN250401000123,false,194C,9.56,990.0,77.62,482.07,106.47,Matched,Compliant,Ready,6,Duis bibendum. Morbi non quam nec dui luctus rutrum.
42,Chatterpoint,LMNO9012Q,2020,Q4,42,Carl Scrivin,WXYZ67890P,INV-2020-000123,9/2/2021,6663.56,252.45,10/6/2021,2518.42,Credit Card,Zoomdog,7992616473,TXN250401000123,true,194IA,6.0,319.39,153.52,411.81,344.79,Missing Credit,Needs Review,Missing,9,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum."
43,Rhynoodle,XYZW5678P,2021,Q4,43,Nanny Allanson,LMNO90123Q,INV-2021-000789,5/29/2020,5214.94,946.64,10/16/2020,4888.21,Cheque,BlogXS,8182083887,UTR250402000456,true,194C,3.04,713.93,293.2,86.38,-163.95,Matched,Escalated,Missing,4,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum."
44,Tagpad,ABCDE1234F,2020,Q4,44,Karl Swadlin,ABCD12345E,INV-2020-000123,7/31/2021,4453.43,619.66,2/5/2020,3421.8,Credit Card,Thoughtbridge,4870234451,TXN250401000123,false,194IA,3.94,994.2,184.84,411.82,358.26,Missing Credit,Escalated,Missing,2,Aliquam non mauris.
45,Twiyo,ABCDE1234F,2021,Q4,45,Ali Nash,ABCD12345E,INV-2020-000456,4/8/2021,6146.3,953.2,9/27/2021,9627.7,Cheque,Gigabox,4789173046,TXN250401000123,false,194J,6.19,306.18,363.95,174.8,-72.77,Matched,Escalated,Missing,10,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
46,Roomm,ABCDE1234F,2020,Q1,46,Hakeem Roff,WXYZ67890P,INV-2020-000456,2/8/2020,5851.51,747.89,8/8/2020,6744.17,Cheque,Skyvu,5109411202,UTR250402000456,true,194C,9.95,919.53,355.45,365.96,227.57,Section Mismatch,Escalated,Partial,5,In hac habitasse platea dictumst.
47,Jaloo,XYZW5678P,2021,Q1,47,Claire Dibbs,WXYZ67890P,INV-2020-000456,9/4/2020,4240.84,517.77,2/22/2021,4741.56,Credit Card,Meetz,4653445644,UTR250402000456,true,194J,6.09,351.66,336.08,282.05,-181.47,Matched,Needs Review,Missing,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
48,Linktype,XYZW5678P,2021,Q2,48,Jessalin Brisse,LMNO90123Q,INV-2020-000123,5/14/2020,5467.76,511.48,6/26/2021,8309.37,Credit Card,Myworks,5185588954,UTR250401000123,false,194IA,9.77,753.79,158.88,35.2,402.17,Section Mismatch,Needs Review,Missing,4,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
49,DabZ,LMNO9012Q,2020,Q2,49,Greggory Phelipeaux,LMNO90123Q,INV-2020-000456,1/22/2021,2486.48,661.05,2/26/2021,1049.85,Bank Transfer,Vimbo,8850758887,UTR250401000123,true,194IA,4.37,987.38,324.7,342.52,-197.35,Section Mismatch,Compliant,Missing,8,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
50,Youfeed,LMNO9012Q,2021,Q2,50,Celestine Winterburn,ABCD12345E,INV-2020-000123,4/1/2021,5646.01,610.06,7/4/2020,4901.12,Credit Card,Flipopia,9805227799,UTR250402000456,true,194C,6.17,627.25,285.45,257.93,459.31,Section Mismatch,Needs Review,Missing,7,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
51,Zoomzone,ABCDE1234F,2020,Q4,51,Berky Oughton,WXYZ67890P,INV-2021-000789,1/2/2021,9223.82,440.55,1/18/2021,3202.39,Bank Transfer,Katz,1193749599,UTR250401000123,true,194IA,3.85,950.4,76.85,287.04,-370.99,Missing Credit,Needs Review,Partial,10,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
52,Blogtag,ABCDE1234F,2021,Q2,52,Darrin Scrogges,ABCD12345E,INV-2020-000123,4/3/2020,3339.35,318.68,3/1/2021,4207.6,Cheque,Feedbug,2205647906,UTR250401000123,false,194IA,2.42,317.5,429.72,24.56,6.43,Missing Credit,Escalated,Partial,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
